customer_id,bureau_agency,refresh_cycle,bureau_score,score_delta_vs_previous,total_tradelines,secured_tradelines,unsecured_tradelines,total_outstanding,recent_enquiries_3m,max_dpd_12m,number_of_defaults,credit_utilisation_pct,new_accounts_opened_3m,bureau_pull_date,load_date
2000005,Experian,H1-2023,900,,14,8,7,6726571.68,5,1,0,82.28,4,2023-03-16,2024-12-31
2000005,Experian,H2-2023,865,-29.0,10,4,0,5924057.77,0,0,0,95.92,2,2024-12-02,2024-12-31
2000005,CRIF Highmark,H1-2024,868,-26.0,6,0,2,10176035.55,7,0,0,44.44,2,2023-11-08,2024-12-31
2000005,Equifax,H2-2024,900,38.0,7,2,7,7137731.83,7,90,0,55.31,1,2023-06-22,2024-12-31
2000006,CRIF Highmark,H1-2023,343,,8,3,3,14125472.97,2,0,1,68.39,1,2024-04-07,2024-12-31
2000006,CIBIL TransUnion,H2-2023,355,-19.0,1,4,5,1299693.41,6,30,0,96.24,0,2023-12-02,2024-12-31
2000006,CRIF Highmark,H1-2024,342,-32.0,11,8,2,8793744.18,3,1,2,90.91,0,2023-07-11,2024-12-31
2000006,Equifax,H2-2024,348,-26.0,3,1,7,2688884.15,8,60,1,13.01,3,2023-05-21,2024-12-31
2000007,Equifax,H1-2023,692,,3,8,2,3931745.89,4,0,1,62.21,0,2024-03-25,2024-12-31
2000007,Experian,H2-2023,688,-25.0,3,3,0,3142223.92,5,0,0,0.38,3,2023-06-06,2024-12-31
2000007,Experian,H1-2024,701,-12.0,5,8,4,5382130.87,4,0,1,10.15,3,2023-10-16,2024-12-31
2000007,CRIF Highmark,H2-2024,753,40.0,1,5,5,5099197.15,8,0,0,74.15,2,2023-06-07,2024-12-31
2000008,Equifax,H1-2023,364,,5,3,0,19010515.45,8,1,1,19.69,1,2023-03-31,2024-12-31
2000008,Experian,H2-2023,335,4.0,15,2,2,15509266.08,3,0,1,8.44,3,2024-12-30,2024-12-31
2000008,CRIF Highmark,H1-2024,304,-27.0,3,6,4,7021923.51,6,0,0,45.77,3,2023-05-10,2024-12-31
2000008,CIBIL TransUnion,H2-2024,302,-29.0,4,8,4,9725623.82,0,0,0,79.88,3,2023-09-26,2024-12-31
2000009,Experian,H1-2023,663,,1,0,3,10267420.06,2,30,0,99.0,2,2024-01-12,2024-12-31
2000009,CRIF Highmark,H2-2023,612,-12.0,11,3,1,6947963.68,7,1,0,94.83,1,2024-07-23,2024-12-31
2000009,Equifax,H1-2024,652,28.0,8,7,2,13107383.69,6,0,0,18.87,3,2023-01-28,2024-12-31
2000009,Experian,H2-2024,638,14.0,6,0,6,8765797.86,0,0,0,87.95,2,2023-02-16,2024-12-31
2000010,CIBIL TransUnion,H1-2023,701,,1,5,3,6609075.98,1,0,2,17.75,4,2024-02-22,2024-12-31
2000010,Experian,H2-2023,679,5.0,3,1,1,19059314.22,8,1,0,27.15,0,2023-07-18,2024-12-31
2000010,Equifax,H1-2024,663,-11.0,2,8,1,3184898.73,1,1,0,75.9,3,2023-02-22,2024-12-31
2000010,Experian,H2-2024,682,8.0,6,3,6,15933903.71,1,30,0,9.58,4,2023-10-04,2024-12-31
2000011,CRIF Highmark,H1-2023,590,,9,6,7,16777845.24,7,0,0,58.13,0,2024-11-27,2024-12-31
2000011,Experian,H2-2023,599,34.0,4,2,0,18928045.92,7,1,2,36.42,3,2023-08-07,2024-12-31
2000011,CRIF Highmark,H1-2024,536,-29.0,10,5,6,18682192.25,2,0,0,69.56,3,2024-09-19,2024-12-31
2000011,Equifax,H2-2024,533,-32.0,9,2,0,12409001.16,0,60,0,94.57,3,2024-04-23,2024-12-31
2000012,CIBIL TransUnion,H1-2023,765,,11,8,2,18659005.24,3,0,0,61.06,3,2024-12-02,2024-12-31
2000012,Experian,H2-2023,802,38.0,2,5,3,8117901.73,7,0,0,51.27,4,2023-12-14,2024-12-31
2000012,CRIF Highmark,H1-2024,793,29.0,12,3,2,7306862.84,4,60,0,53.75,3,2024-12-15,2024-12-31
2000012,Experian,H2-2024,743,-21.0,5,1,4,2939721.58,3,90,0,66.99,0,2023-03-23,2024-12-31
2000013,CRIF Highmark,H1-2023,755,,12,8,6,3728697.88,1,0,1,48.93,4,2024-03-14,2024-12-31
2000013,CRIF Highmark,H2-2023,718,-4.0,12,2,0,7543027.03,7,1,0,28.15,4,2023-03-25,2024-12-31
2000013,Experian,H1-2024,747,25.0,7,5,4,11618686.16,0,0,2,2.86,1,2024-06-20,2024-12-31
2000013,CIBIL TransUnion,H2-2024,683,-39.0,3,1,2,17919606.46,4,0,0,5.91,4,2024-04-01,2024-12-31
2000014,Equifax,H1-2023,729,,10,2,7,14979647.29,0,60,0,60.67,0,2023-08-27,2024-12-31
2000014,Experian,H2-2023,719,-21.0,14,0,6,13971450.89,8,0,0,5.69,2,2023-04-04,2024-12-31
2000014,CRIF Highmark,H1-2024,741,1.0,4,3,5,2484026.97,3,90,0,60.3,4,2023-05-23,2024-12-31
2000014,CIBIL TransUnion,H2-2024,705,-35.0,4,3,0,4092911.9,4,0,0,57.5,0,2024-07-20,2024-12-31
2000015,Equifax,H1-2023,449,,4,2,5,18545531.76,6,0,0,28.52,4,2023-10-29,2024-12-31
2000015,Equifax,H2-2023,481,12.0,13,5,5,8426963.63,0,0,0,85.13,2,2023-11-22,2024-12-31
2000015,CIBIL TransUnion,H1-2024,460,-9.0,11,5,7,6139888.95,4,0,0,41.9,1,2023-06-08,2024-12-31
2000015,Experian,H2-2024,489,20.0,4,2,6,1095404.37,3,0,0,11.8,0,2023-06-07,2024-12-31
2000016,CRIF Highmark,H1-2023,579,,12,0,4,15243182.96,7,0,1,2.57,4,2023-10-16,2024-12-31
2000016,Experian,H2-2023,589,-15.0,13,7,2,5009288.94,1,1,0,58.81,4,2024-03-27,2024-12-31
2000016,Experian,H1-2024,634,30.0,8,6,1,18672339.24,1,1,0,5.42,3,2023-09-16,2024-12-31
2000016,CRIF Highmark,H2-2024,592,-12.0,6,1,7,16148455.56,7,0,2,94.83,1,2024-01-10,2024-12-31
2000017,CIBIL TransUnion,H1-2023,628,,12,8,1,8655077.42,8,0,0,7.67,4,2024-02-08,2024-12-31
2000017,Equifax,H2-2023,674,21.0,11,7,7,6820507.32,3,60,0,66.39,3,2024-09-20,2024-12-31
2000017,CIBIL TransUnion,H1-2024,674,21.0,7,6,5,7020900.56,5,30,0,79.18,1,2024-07-18,2024-12-31
2000017,Experian,H2-2024,692,39.0,15,6,2,5823343.76,5,0,0,41.06,3,2024-07-27,2024-12-31
2000018,Experian,H1-2023,618,,9,4,6,2016407.5,4,30,0,37.12,0,2023-04-25,2024-12-31
2000018,Equifax,H2-2023,679,22.0,6,5,3,19745125.86,8,0,2,44.02,4,2024-01-05,2024-12-31
2000018,Equifax,H1-2024,670,13.0,7,2,5,19418885.02,7,0,2,50.66,2,2023-10-10,2024-12-31
2000018,Experian,H2-2024,654,-3.0,12,6,4,19301471.45,3,0,2,78.88,3,2024-08-15,2024-12-31
2000019,CRIF Highmark,H1-2023,564,,12,6,3,10270164.57,4,30,0,58.09,0,2024-01-10,2024-12-31
2000019,CRIF Highmark,H2-2023,619,16.0,12,2,4,11133489.02,6,30,0,33.66,0,2024-06-21,2024-12-31
2000019,Experian,H1-2024,616,13.0,12,6,4,9366045.42,7,30,2,5.32,1,2024-12-28,2024-12-31
2000019,CRIF Highmark,H2-2024,618,15.0,7,6,1,9143502.78,2,0,0,16.64,0,2024-09-24,2024-12-31
2000020,CIBIL TransUnion,H1-2023,637,,3,0,0,19024830.18,4,0,0,76.01,1,2023-10-17,2024-12-31
2000020,Equifax,H2-2023,645,-2.0,1,0,0,4559665.99,2,60,0,16.12,1,2023-11-07,2024-12-31
2000020,CIBIL TransUnion,H1-2024,635,-12.0,6,6,6,18892046.61,0,0,0,56.15,1,2023-03-01,2024-12-31
2000020,CRIF Highmark,H2-2024,610,-37.0,8,2,4,7855185.3,5,60,0,25.32,1,2023-05-29,2024-12-31
2000021,CIBIL TransUnion,H1-2023,746,,14,8,1,18644350.9,7,30,2,46.19,0,2023-04-30,2024-12-31
2000021,CIBIL TransUnion,H2-2023,707,-29.0,9,0,4,19379471.91,4,0,0,35.5,2,2024-06-16,2024-12-31
2000021,Experian,H1-2024,732,-4.0,15,5,1,17768904.15,0,30,0,18.66,3,2023-06-17,2024-12-31
2000021,CIBIL TransUnion,H2-2024,737,1.0,11,1,4,2119987.08,8,0,0,99.69,2,2024-03-29,2024-12-31
2000022,CIBIL TransUnion,H1-2023,568,,4,2,5,1769876.83,5,0,0,62.59,4,2024-02-05,2024-12-31
2000022,CRIF Highmark,H2-2023,596,12.0,8,1,0,3474155.1,3,30,0,56.05,4,2024-12-17,2024-12-31
2000022,CIBIL TransUnion,H1-2024,601,17.0,9,7,0,9956066.55,4,0,1,34.3,1,2024-08-30,2024-12-31
2000022,CRIF Highmark,H2-2024,555,-29.0,8,5,0,10783961.62,3,30,0,45.71,3,2024-08-27,2024-12-31
2000023,Equifax,H1-2023,398,,13,3,1,2175037.74,4,1,0,71.74,4,2024-02-01,2024-12-31
2000023,Equifax,H2-2023,327,-40.0,4,6,6,10605227.59,5,0,0,10.55,2,2023-08-21,2024-12-31
2000023,CRIF Highmark,H1-2024,368,1.0,5,2,3,1445947.14,6,60,0,68.75,0,2024-09-23,2024-12-31
2000023,Experian,H2-2024,382,15.0,13,4,6,13644480.52,1,30,0,54.5,3,2023-11-24,2024-12-31
2000024,CRIF Highmark,H1-2023,900,,1,7,6,18700009.17,8,30,0,3.54,3,2024-12-31,2024-12-31
2000024,Experian,H2-2023,900,34.0,14,6,2,13810478.59,4,0,0,33.41,3,2023-02-23,2024-12-31
2000024,CIBIL TransUnion,H1-2024,900,10.0,14,4,0,17398194.52,3,60,0,58.72,2,2024-04-06,2024-12-31
2000024,CIBIL TransUnion,H2-2024,882,-12.0,1,7,4,8236713.23,5,0,0,29.92,1,2024-11-03,2024-12-31
2000025,CIBIL TransUnion,H1-2023,780,,15,4,5,332333.74,6,0,0,29.95,4,2023-12-02,2024-12-31
2000025,Experian,H2-2023,822,12.0,5,0,1,4509086.69,5,0,2,95.63,2,2024-03-06,2024-12-31
2000025,Equifax,H1-2024,837,27.0,9,0,5,18152251.94,2,90,0,92.22,2,2024-06-10,2024-12-31
2000025,Equifax,H2-2024,831,21.0,11,3,2,4482390.94,2,90,0,64.37,2,2024-09-02,2024-12-31
2000026,Equifax,H1-2023,810,,11,5,1,1927329.89,4,1,1,37.62,2,2023-02-23,2024-12-31
2000026,CIBIL TransUnion,H2-2023,732,-39.0,7,7,4,9336615.61,1,0,0,97.17,0,2024-11-10,2024-12-31
2000026,CIBIL TransUnion,H1-2024,744,-27.0,13,1,6,13728024.2,2,30,0,69.11,2,2024-01-16,2024-12-31
2000026,Equifax,H2-2024,781,10.0,2,0,3,11640044.9,7,0,0,61.41,0,2023-11-03,2024-12-31
2000027,Experian,H1-2023,813,,3,1,0,17057613.26,5,0,0,10.04,4,2024-08-15,2024-12-31
2000027,Equifax,H2-2023,796,21.0,15,2,5,17351931.52,7,1,0,54.07,2,2024-09-28,2024-12-31
2000027,Equifax,H1-2024,810,35.0,5,7,2,13316380.59,1,60,0,12.1,1,2023-01-21,2024-12-31
2000027,CRIF Highmark,H2-2024,805,30.0,11,5,5,108616.44,0,0,0,30.22,0,2024-01-12,2024-12-31
2000028,Equifax,H1-2023,370,,8,1,6,4270535.24,4,0,0,84.48,3,2023-04-10,2024-12-31
2000028,Equifax,H2-2023,309,-21.0,14,0,3,8506888.59,0,0,0,64.81,4,2023-07-05,2024-12-31
2000028,CIBIL TransUnion,H1-2024,348,18.0,10,1,7,8519869.45,2,60,0,25.07,1,2024-12-06,2024-12-31
2000028,Experian,H2-2024,341,11.0,14,5,6,10978752.97,8,0,1,37.41,1,2024-08-10,2024-12-31
2000029,CIBIL TransUnion,H1-2023,900,,1,0,6,2725561.68,1,0,1,48.07,0,2024-06-28,2024-12-31
2000029,Experian,H2-2023,858,-16.0,4,8,7,11072148.38,2,30,0,19.33,2,2023-02-03,2024-12-31
2000029,CIBIL TransUnion,H1-2024,840,-34.0,14,7,0,6192020.54,6,0,0,86.08,4,2023-04-06,2024-12-31
2000029,CIBIL TransUnion,H2-2024,882,8.0,7,0,3,2830060.63,1,60,0,19.46,3,2023-11-12,2024-12-31
2000030,Equifax,H1-2023,594,,7,8,6,18700860.96,2,0,0,96.8,3,2023-02-14,2024-12-31
2000030,Experian,H2-2023,578,16.0,14,4,6,3649784.77,5,1,0,58.46,4,2024-03-13,2024-12-31
2000030,CRIF Highmark,H1-2024,589,27.0,3,0,5,16762708.97,5,0,0,51.03,1,2024-02-02,2024-12-31
2000030,Experian,H2-2024,523,-39.0,6,2,3,17630900.47,1,0,0,94.93,4,2024-03-04,2024-12-31
2000031,CRIF Highmark,H1-2023,604,,12,7,0,2757625.81,7,0,1,54.85,4,2024-12-16,2024-12-31
2000031,Experian,H2-2023,609,-18.0,4,1,3,1584736.11,7,60,0,79.36,1,2023-09-04,2024-12-31
2000031,CRIF Highmark,H1-2024,594,-33.0,11,5,5,17229133.28,3,0,0,86.42,4,2024-01-22,2024-12-31
2000031,CRIF Highmark,H2-2024,624,-3.0,9,4,6,9822284.74,4,0,0,93.25,1,2024-11-05,2024-12-31
2000032,Equifax,H1-2023,467,,2,6,1,12983412.88,7,0,1,31.6,4,2023-09-15,2024-12-31
2000032,CRIF Highmark,H2-2023,447,18.0,3,3,1,4527903.38,3,0,0,21.61,2,2024-03-15,2024-12-31
2000032,CRIF Highmark,H1-2024,427,-2.0,8,1,1,6807544.41,5,1,2,70.11,1,2023-08-02,2024-12-31
2000032,CIBIL TransUnion,H2-2024,421,-8.0,7,0,4,17137130.32,6,0,0,48.18,4,2023-12-16,2024-12-31
2000033,CIBIL TransUnion,H1-2023,655,,13,4,2,9536539.81,5,1,0,17.01,1,2024-01-11,2024-12-31
2000033,CIBIL TransUnion,H2-2023,684,-7.0,13,5,7,15943822.12,1,1,1,77.99,3,2023-09-12,2024-12-31
2000033,Equifax,H1-2024,672,-19.0,10,3,4,14031836.53,5,0,0,42.45,3,2024-12-07,2024-12-31
2000033,CIBIL TransUnion,H2-2024,723,32.0,14,4,2,6831674.29,4,0,2,10.6,0,2023-08-09,2024-12-31
2000034,CRIF Highmark,H1-2023,636,,14,1,4,15907204.44,7,0,0,38.92,0,2024-03-05,2024-12-31
2000034,CIBIL TransUnion,H2-2023,685,32.0,7,6,1,3894269.63,2,0,0,58.09,4,2024-04-13,2024-12-31
2000034,CRIF Highmark,H1-2024,645,-8.0,11,6,3,6453538.85,6,0,0,84.88,2,2024-03-13,2024-12-31
2000034,CIBIL TransUnion,H2-2024,627,-26.0,10,2,6,4090186.98,3,0,0,43.28,2,2024-06-16,2024-12-31
2000035,Experian,H1-2023,815,,9,3,0,128456.44,4,0,0,53.09,4,2024-03-02,2024-12-31
2000035,Equifax,H2-2023,871,34.0,6,6,1,17856654.29,8,1,0,26.61,4,2023-02-13,2024-12-31
2000035,Experian,H1-2024,867,30.0,2,2,0,4027311.76,0,0,0,45.96,3,2023-07-25,2024-12-31
2000035,Equifax,H2-2024,845,8.0,7,7,5,8056223.33,6,0,0,3.16,2,2024-07-21,2024-12-31
2000036,Experian,H1-2023,699,,8,5,0,17999341.29,4,0,2,79.59,3,2024-04-05,2024-12-31
2000036,CIBIL TransUnion,H2-2023,684,-36.0,12,6,2,13411182.7,8,0,1,77.19,4,2023-11-08,2024-12-31
2000036,CIBIL TransUnion,H1-2024,758,38.0,7,5,4,11829003.7,4,0,0,84.27,3,2023-01-19,2024-12-31
2000036,Experian,H2-2024,724,4.0,6,7,3,12859214.5,4,1,0,94.89,2,2023-01-13,2024-12-31
2000037,CIBIL TransUnion,H1-2023,746,,9,3,2,5205982.81,0,0,1,93.27,2,2023-06-10,2024-12-31
2000037,CIBIL TransUnion,H2-2023,739,-20.0,9,4,3,13856247.96,2,0,2,0.43,2,2024-05-28,2024-12-31
2000037,Equifax,H1-2024,778,19.0,14,5,3,5341236.71,0,0,1,95.68,2,2024-08-05,2024-12-31
2000037,CIBIL TransUnion,H2-2024,799,40.0,3,5,7,3803716.7,5,0,0,54.09,0,2023-11-06,2024-12-31
2000038,CRIF Highmark,H1-2023,798,,8,4,6,16370137.53,3,0,0,31.1,4,2024-09-19,2024-12-31
2000038,CRIF Highmark,H2-2023,813,25.0,5,2,7,12975478.61,0,60,0,61.64,1,2023-08-18,2024-12-31
2000038,Equifax,H1-2024,825,37.0,9,7,0,19971199.84,6,0,0,26.55,4,2024-01-05,2024-12-31
2000038,CIBIL TransUnion,H2-2024,776,-12.0,4,4,6,11022509.31,6,30,0,2.46,0,2024-11-06,2024-12-31
2000039,CIBIL TransUnion,H1-2023,673,,10,5,3,7503279.5,6,0,0,60.42,1,2024-02-28,2024-12-31
2000039,CRIF Highmark,H2-2023,737,24.0,7,1,2,15372520.76,8,0,0,12.7,1,2024-10-27,2024-12-31
2000039,CRIF Highmark,H1-2024,702,-11.0,1,2,6,12048923.97,8,0,0,97.1,3,2024-06-28,2024-12-31
2000039,Experian,H2-2024,735,22.0,6,4,4,8222367.44,3,90,0,66.83,1,2023-12-26,2024-12-31
2000040,Equifax,H1-2023,632,,13,6,2,18782418.38,6,60,0,49.02,2,2024-09-03,2024-12-31
2000040,Equifax,H2-2023,620,8.0,6,2,0,15296018.43,1,60,0,58.18,3,2024-02-08,2024-12-31
2000040,CRIF Highmark,H1-2024,626,14.0,12,1,5,8189175.68,3,60,0,43.85,2,2024-08-10,2024-12-31
2000040,Equifax,H2-2024,589,-23.0,13,7,7,9363120.29,6,0,0,77.35,0,2023-06-24,2024-12-31
2000041,Experian,H1-2023,480,,13,1,3,9302538.65,6,30,2,97.72,2,2023-11-17,2024-12-31
2000041,Equifax,H2-2023,494,31.0,8,2,5,18297491.24,3,0,0,18.14,0,2023-05-04,2024-12-31
2000041,CIBIL TransUnion,H1-2024,500,37.0,7,4,3,17689669.85,6,1,1,45.79,4,2023-10-19,2024-12-31
2000041,CRIF Highmark,H2-2024,455,-8.0,11,7,4,16275616.38,2,1,1,89.01,2,2023-02-09,2024-12-31
2000042,CIBIL TransUnion,H1-2023,730,,9,2,7,17325842.42,6,0,0,93.42,1,2023-04-19,2024-12-31
2000042,CIBIL TransUnion,H2-2023,780,37.0,12,6,7,14265529.33,7,0,0,39.65,4,2023-10-11,2024-12-31
2000042,Experian,H1-2024,760,17.0,15,8,0,2553152.82,3,0,1,96.07,4,2023-04-16,2024-12-31
2000042,Equifax,H2-2024,763,20.0,11,2,7,15110880.66,6,60,0,63.79,0,2024-10-11,2024-12-31
2000043,Equifax,H1-2023,702,,6,1,2,11727101.78,7,30,0,10.2,3,2024-04-14,2024-12-31
2000043,CRIF Highmark,H2-2023,710,-29.0,2,3,7,18725453.91,0,0,0,85.67,0,2023-04-10,2024-12-31
2000043,CRIF Highmark,H1-2024,701,-38.0,4,5,5,17259620.3,7,0,0,12.01,3,2024-12-22,2024-12-31
2000043,CIBIL TransUnion,H2-2024,707,-32.0,6,3,3,6169486.01,8,0,0,54.56,4,2023-10-06,2024-12-31
2000044,Equifax,H1-2023,599,,13,6,7,11855203.87,8,0,0,29.74,3,2023-05-09,2024-12-31
2000044,CRIF Highmark,H2-2023,629,3.0,8,2,3,3941528.84,6,60,0,46.79,4,2023-04-10,2024-12-31
2000044,CRIF Highmark,H1-2024,648,22.0,2,0,2,1209376.34,7,0,0,93.18,4,2024-09-22,2024-12-31
2000044,CRIF Highmark,H2-2024,623,-3.0,5,7,1,9154450.08,3,0,0,25.13,3,2024-07-05,2024-12-31
2000045,Experian,H1-2023,407,,9,2,4,7806519.66,8,0,0,53.39,2,2023-03-10,2024-12-31
2000045,CIBIL TransUnion,H2-2023,383,-12.0,3,7,7,4269263.31,5,30,0,87.14,4,2023-03-30,2024-12-31
2000045,CIBIL TransUnion,H1-2024,400,5.0,5,3,6,12796474.71,2,0,2,71.08,0,2024-11-25,2024-12-31
2000045,Experian,H2-2024,404,9.0,10,4,5,1715417.75,2,30,0,51.77,0,2023-07-18,2024-12-31
2000046,CIBIL TransUnion,H1-2023,731,,12,7,1,15699192.6,5,1,0,14.34,2,2024-06-24,2024-12-31
2000046,Equifax,H2-2023,757,-14.0,4,0,6,9405673.57,4,0,2,11.53,1,2024-08-30,2024-12-31
2000046,CIBIL TransUnion,H1-2024,798,27.0,4,7,6,10623515.48,7,0,0,78.25,2,2023-07-21,2024-12-31
2000046,Experian,H2-2024,794,23.0,5,3,6,14841657.95,5,0,0,36.72,3,2023-09-05,2024-12-31
2000047,CIBIL TransUnion,H1-2023,900,,1,8,7,3816101.88,5,1,2,78.17,0,2024-06-29,2024-12-31
2000047,Experian,H2-2023,892,2.0,5,7,1,11518039.01,3,0,0,97.5,3,2024-04-05,2024-12-31
2000047,CIBIL TransUnion,H1-2024,866,-24.0,9,7,1,7558044.59,3,0,1,83.78,3,2024-06-09,2024-12-31
2000047,Experian,H2-2024,883,-7.0,10,7,4,2355528.06,5,0,1,13.02,2,2024-02-22,2024-12-31
2000048,Experian,H1-2023,900,,15,7,3,8857377.14,0,60,0,97.47,0,2023-03-03,2024-12-31
2000048,CIBIL TransUnion,H2-2023,843,-29.0,4,8,3,12955000.23,3,0,0,58.92,3,2024-09-13,2024-12-31
2000048,Equifax,H1-2024,891,19.0,14,4,5,3457730.63,6,1,0,38.21,1,2024-11-01,2024-12-31
2000048,Experian,H2-2024,870,-2.0,9,2,3,9766866.33,6,0,0,73.84,0,2023-08-17,2024-12-31
2000049,CRIF Highmark,H1-2023,403,,7,7,1,2837221.27,3,1,0,55.42,2,2023-08-18,2024-12-31
2000049,Experian,H2-2023,424,-15.0,13,6,4,16697091.26,5,1,0,54.35,3,2023-09-08,2024-12-31
2000049,Equifax,H1-2024,479,40.0,5,8,1,8295898.05,1,0,0,47.6,0,2023-01-28,2024-12-31
2000049,Experian,H2-2024,464,25.0,12,6,2,12382928.75,4,1,0,6.02,2,2024-04-25,2024-12-31
2000050,CIBIL TransUnion,H1-2023,562,,15,5,5,7522368.17,2,60,1,33.75,2,2024-06-05,2024-12-31
2000050,Equifax,H2-2023,607,24.0,11,8,2,17846081.27,2,1,0,83.46,4,2023-04-28,2024-12-31
2000050,CIBIL TransUnion,H1-2024,575,-8.0,13,4,0,11930380.1,7,0,0,10.78,1,2024-11-17,2024-12-31
2000050,CRIF Highmark,H2-2024,585,2.0,13,8,0,11750044.58,3,1,0,60.5,3,2023-12-15,2024-12-31
2000051,Equifax,H1-2023,732,,6,5,7,43169.57,7,0,0,35.32,4,2024-06-25,2024-12-31
2000051,Equifax,H2-2023,718,19.0,12,5,7,4246069.49,6,0,0,13.88,3,2023-10-16,2024-12-31
2000051,CIBIL TransUnion,H1-2024,659,-40.0,9,1,0,1621559.51,2,0,1,18.5,0,2023-01-29,2024-12-31
2000051,CRIF Highmark,H2-2024,715,16.0,11,3,6,7849917.5,0,90,0,9.52,4,2024-10-08,2024-12-31
2000052,Experian,H1-2023,746,,12,8,2,2080943.16,5,0,0,18.08,0,2023-05-13,2024-12-31
2000052,CIBIL TransUnion,H2-2023,796,35.0,13,3,5,19438318.78,8,1,0,53.1,4,2023-12-12,2024-12-31
2000052,CRIF Highmark,H1-2024,761,0.0,9,6,7,12336718.94,3,1,0,23.05,2,2024-08-14,2024-12-31
2000052,CRIF Highmark,H2-2024,787,26.0,1,0,0,104857.69,4,1,2,20.24,1,2024-12-28,2024-12-31
2000053,CIBIL TransUnion,H1-2023,783,,11,5,0,9137515.64,5,0,2,80.08,1,2023-07-26,2024-12-31
2000053,CRIF Highmark,H2-2023,785,0.0,1,1,1,8379011.65,0,0,0,87.94,0,2024-02-18,2024-12-31
2000053,CIBIL TransUnion,H1-2024,789,4.0,6,2,7,19915868.93,0,0,0,48.38,0,2023-04-28,2024-12-31
2000053,CRIF Highmark,H2-2024,763,-22.0,11,7,6,5321026.17,4,0,0,30.05,3,2024-02-27,2024-12-31
2000054,CIBIL TransUnion,H1-2023,849,,10,2,2,16520311.58,7,0,1,16.56,1,2024-12-03,2024-12-31
2000054,Equifax,H2-2023,803,-23.0,9,8,0,16954649.02,6,0,0,73.59,3,2023-01-01,2024-12-31
2000054,Equifax,H1-2024,840,14.0,13,3,6,18593288.87,1,0,0,11.51,1,2023-08-10,2024-12-31
2000054,Experian,H2-2024,845,19.0,9,1,4,13776318.41,8,0,0,96.4,4,2023-07-21,2024-12-31
2000055,CRIF Highmark,H1-2023,784,,5,7,4,15175728.99,1,1,1,1.58,1,2024-06-28,2024-12-31
2000055,Experian,H2-2023,774,-7.0,12,8,3,4793907.23,5,1,0,7.78,2,2024-07-09,2024-12-31
2000055,CRIF Highmark,H1-2024,762,-19.0,12,0,2,5102744.64,5,0,0,82.64,1,2023-10-24,2024-12-31
2000055,CRIF Highmark,H2-2024,777,-4.0,13,3,3,3431337.19,1,0,1,48.14,0,2023-03-14,2024-12-31
2000056,Experian,H1-2023,764,,11,3,6,4453747.84,1,1,0,1.67,0,2024-12-12,2024-12-31
