loan_id,customer_id,product_code,sanction_amount,interest_rate,tenure_months,sourcing_channel,target_default,max_dpd_ever,max_overdue_amount,total_overdue_amount,total_bounces,total_mob,max_mob,bounce_rate,max_dpd_12m_mob,max_dpd_6m_mob,last_delinq_mob,ever_npa_flag,months_since_last_delinquency,chronic_delinquent,recent_stress_flag,bureau_agency,bureau_score,score_version,total_tradelines,secured_tradelines,unsecured_tradelines,credit_card_tradelines,total_outstanding,total_sanctioned_limit,credit_utilisation_pct,recent_enquiries_3m,recent_enquiries_6m,max_dpd_12m,max_dpd_24m,number_of_defaults,oldest_account_vintage_months,written_off_accounts,suit_filed_flag,wilful_default_flag,bureau_pull_date,load_date_x,ever_dpd90_12m,ever_dpd90_24m,has_writeoff,high_enquiry_flag,long_vintage_flag,unsecured_mix_ratio,enquiry_per_tradeline,bureau_score_band_num,avg_monthly_credit,avg_monthly_debit,avg_eod_balance,min_balance,max_balance,emi_bounce_count,salary_credit_count,salary_flag,inward_cheque_bounce_count,outward_cheque_bounce_count,avg_monthly_emi_outflow,cash_withdrawal_pct,upi_txn_count_monthly,international_txn_flag,gaming_txn_flag,casino_txn_flag,credit_card_payment_flag,statement_start_date,statement_end_date,bank_name,account_type,load_date_y,net_cashflow_ratio,emi_to_income_ratio,balance_to_income_ratio,high_stress_flag,high_cash_flag,application_id,declared_income,employment_type,company_name,company_category,work_experience_years,years_at_current_employer,loan_purpose,requested_amount,requested_tenure,foir,existing_monthly_obligations,co_applicant_flag,co_applicant_income,ltv_ratio,property_value,application_date,application_status,credit_decisioning_model,load_date,income_deviation_pct,mismatch_flag,verified_income,itr_assessed_income,verification_status,employment_risk_rank,high_foir_flag,high_ltv_flag,low_experience,declared_to_verified_ratio,itr_to_declared_ratio,effective_income,loan_to_income_ratio
1000017,2000017,BL,27007773.18,19.44,180,Branch Walk-in,1,300,5095213.42,85229024.48,20,36,36,0.5555555555555556,119,61,36,0.0,0,1,1,CRIF Highmark,653.0,CIBIL V3.0,5,0,5,0,17773091.82,1140885.53,34.94,2,3,1,0,0,150,0,0,0,2024-03-04,2024-12-31,0,0,0,0,1,1.0,0.6,3.0,519073.89,523643.67,248992.9,80473.58,3402397.79,0,1,1,2,1,124883.05,36.47,138,0,0,1,False,2024-01-01,2024-12-31,IndusInd Bank,Savings,2024-12-31,-0.008803717713483854,0.24058819448614532,0.4796868129891873,1,0,3000017,6417054.29,Business - Partnership,Rau LLC,Government PSU,1,0,Home Construction,15442641.01,12,0.3569,190853.89,0,242459.29,0.7599,20053965.74,2023-08-24,Disbursed,ML Scorecard v2,2024-12-31,26.13,1,8093626.75,5142575.08,Verified - Positive,3.0,0,0,1,0.7928527578813787,0.8013918610621572,6417054.29,2.4064999783568917
1000018,2000018,GL,21236573.29,15.21,12,DST,1,217,15351058.32,289751225.79,21,36,36,0.5833333333333334,92,61,36,0.0,0,1,1,CRIF Highmark,657.0,CIBIL V3.0,10,6,1,5,9355840.5,10031251.31,55.58,1,4,0,0,1,62,0,0,0,2024-02-20,2024-12-31,0,0,0,0,1,0.1,0.4,3.0,101011.28,73384.88,52659.0,5116.46,657752.47,2,3,0,2,0,31987.5,39.97,20,0,0,0,False,2024-01-01,2024-12-31,SBI,Savings,2024-12-31,0.27349816772938623,0.31667255379795206,0.5213180151761269,1,0,3000018,1003849.35,Self Employed Professional,Sant Ltd,CAT-B MNC,9,1,Vehicle Purchase,3902961.34,120,0.374,31286.64,0,119860.96,0.729,6008221.23,2021-04-08,Disbursed,Rule Engine v3,2024-12-31,20.05,1,1205096.93,1096235.8,Verified - Positive,4.0,0,0,0,0.8330029933774705,1.092032185905186,1003849.35,3.887995086115262
1000019,2000019,ML,22485816.04,14.46,60,Aggregator,1,124,2642917.5,44929597.5,18,36,36,0.5,90,0,33,0.0,3,1,0,Experian,603.0,CIBIL V3.0,11,2,4,3,6132508.95,11922776.37,91.6,7,9,0,1,0,96,0,0,0,2024-12-25,2024-12-31,0,0,0,1,1,0.36363636363636365,0.8181818181818182,2.0,500164.07,320951.04,1458497.48,29003.7,2523424.13,1,2,1,2,2,81807.57,30.48,116,0,0,0,True,2024-01-01,2024-12-31,IndusInd Bank,NRE,2024-12-31,0.35830848465384574,0.16356146893958218,2.9160380912607335,1,0,3000019,6782686.78,Business - Pvt Ltd,Mittal and Sons,CAT-B MNC,23,11,Marriage,15602880.87,84,0.567,320481.95,1,175162.79,0.5226,19049187.91,2023-09-20,Withdrawn,ML Scorecard v2,2024-12-31,-14.92,0,5771047.98,6526801.87,Verified - Positive,4.0,0,0,0,1.1752955101925873,0.9622738129741559,6957849.57,2.2424860889885547
1000021,2000021,VL,13333632.6,20.44,180,Referral,0,61,715571.73,10018004.22,15,36,36,0.4166666666666667,31,30,36,0.0,0,1,1,Equifax,736.0,Experian v4,13,7,2,0,2623926.86,6217822.0,31.64,1,0,0,180,0,218,1,0,0,2024-02-15,2024-12-31,0,1,1,0,1,0.15384615384615385,0.0,4.0,643056.51,465015.66,269821.12,93174.53,6158006.8,1,2,1,1,1,129911.24,16.62,146,0,0,0,True,2024-01-01,2024-12-31,Kotak Mahindra,Savings,2024-12-31,0.2768665696269835,0.20202149885707557,0.4195916156730922,1,0,3000021,7503071.23,Contract,"Devan, Gala and Dugar",Government PSU,12,5,Home Purchase,14651413.04,48,0.605,378279.84,0,0.0,0.7367,21247048.24,2021-12-11,Disbursed,ML Scorecard v2,2024-12-31,-4.64,0,7155095.36,7706634.56,Verified - Positive,4.0,1,0,0,1.0486332959229772,1.0271306673973823,7503071.23,1.9527221041722669
1000022,2000022,BL,14905720.49,23.48,240,DSA,1,121,1472345.2,19434956.64,13,36,36,0.3611111111111111,0,0,36,0.0,0,1,0,Experian,584.0,CIBIL V3.0,2,3,6,1,13708738.68,19815951.78,28.9,2,3,5,5,0,40,0,0,0,2024-02-27,2024-12-31,0,0,0,0,0,3.0,1.5,1.0,767582.53,359873.69,1760414.05,150088.38,3684791.08,1,3,0,5,3,301987.38,0.15,156,0,0,0,False,2024-01-01,2024-12-31,IndusInd Bank,Savings,2024-12-31,0.5311596135467023,0.3934265934895626,2.29345247083724,1,0,3000022,7926284.82,Business - Partnership,Karnik Inc,CAT-D Unrated,7,5,Vehicle Purchase,3660564.0,12,0.6205,409854.98,1,0.0,0.5644,6186272.86,2023-11-02,Disbursed,Hybrid Model v1,2024-12-31,20.43,1,9545775.58,7522580.26,Verified with Discrepancy,3.0,1,0,0,0.8303447691151357,0.9490676187939459,7926284.82,0.4618259478593907
1000023,2000023,HL,48042867.27,8.82,36,Branch Walk-in,0,181,10666101.32,102089826.92,8,36,36,0.2222222222222222,90,90,36,0.0,0,0,1,CIBIL TransUnion,367.0,Equifax v5,7,2,5,5,17815697.93,29459400.74,87.42,3,10,0,30,1,111,0,1,0,2024-04-26,2024-12-31,0,0,0,1,1,0.7142857142857143,1.4285714285714286,1.0,878629.99,543942.35,952186.67,74067.85,4536160.41,0,3,1,0,1,282969.88,27.26,199,1,0,0,False,2024-01-01,2024-12-31,IDFC First,Savings,2024-12-31,0.3809198909770881,0.3220580713389945,1.0837174701947063,0,0,3000023,10038063.54,Business - Proprietorship,Buch-Ghose,CAT-B MNC,10,14,Education,2219714.34,48,0.282,235894.49,0,0.0,0.7157,2711296.14,2023-10-19,Disbursed,ML Scorecard v2,2024-12-31,16.06,1,11650101.38,10759130.17,Verified with Discrepancy,3.0,0,0,0,0.8616288573447589,1.0718332402586088,10038063.54,0.22112973594506655
1000024,2000024,CL,29766505.76,17.72,120,Branch Walk-in,0,92,2123977.08,30797667.66,14,36,36,0.3888888888888889,32,2,36,0.0,0,1,0,CRIF Highmark,894.0,Equifax v5,3,1,1,4,18180777.81,657495.54,61.31,4,3,10,1,0,83,0,0,0,2024-10-22,2024-12-31,0,0,0,1,1,0.3333333333333333,1.0,5.0,433203.28,419634.26,1003013.52,65377.05,3425976.95,0,0,1,0,1,62794.58,25.74,160,0,0,0,False,2024-01-01,2024-12-31,HDFC Bank,Savings,2024-12-31,0.03132252368910969,0.14495407329325855,2.3153414720220953,0,0,3000024,4831988.72,Contract,Arora Group,CAT-C SME,16,1,Medical Emergency,11140412.13,84,0.2626,105740.02,0,0.0,0.6443,14491034.66,2020-08-24,Rejected,ML Scorecard v2,2024-12-31,14.77,0,5545844.72,5127839.7,Verified - Positive,4.0,0,0,0,0.871280925442139,1.061227580845843,4831988.72,2.305554250134922
1000025,2000025,TL,19849713.75,18.58,60,Digital - Mobile App,1,154,3062016.78,63792016.25,24,36,36,0.6666666666666666,31,31,36,0.0,0,1,1,CIBIL TransUnion,810.0,Equifax v5,3,4,4,0,10562749.85,22533845.6,6.92,6,12,0,0,0,93,1,1,0,2024-09-10,2024-12-31,0,0,1,1,1,1.3333333333333333,4.0,5.0,1068525.2,643428.13,2999086.43,100878.95,4869672.81,0,1,1,3,0,253170.65,2.19,22,0,0,0,False,2024-01-01,2024-12-31,Kotak Mahindra,Salary,2024-12-31,0.3978353248009499,0.23693465535487604,2.8067531116720508,1,0,3000025,12227339.72,Salaried,Keer Ltd,CAT-D Unrated,3,14,Balance Transfer,11550650.3,180,0.6228,634598.93,0,0.0,0.5008,15401924.83,2020-01-27,Withdrawn,ML Scorecard v2,2024-12-31,-13.58,0,10566753.0,10774637.01,Verified - Positive,4.0,1,0,0,1.157152033363513,0.8811922508684497,12227339.72,0.9446576740733593
1000027,2000027,CL,49194280.18,20.82,240,Telesales,0,32,1734992.96,26024894.4,12,36,36,0.3333333333333333,31,0,29,0.0,7,1,0,Experian,775.0,Experian v4,15,7,2,3,3326429.39,8140133.53,44.47,3,9,0,0,3,119,0,0,0,2024-04-11,2024-12-31,0,0,0,1,1,0.13333333333333333,0.6,5.0,1203304.48,759487.78,1085944.44,206289.24,3952171.25,0,2,1,5,2,414527.55,11.82,108,0,0,0,True,2024-01-01,2024-12-31,Yes Bank,OD Account,2024-12-31,0.3688315861667863,0.34449098868143496,0.9024685422928035,1,0,3000027,12318828.27,Salaried,Vohra and Sons,CAT-B MNC,10,10,Working Capital,15318812.61,60,0.5892,604854.47,0,0.0,0.6481,26856636.39,2024-09-01,Rejected,Rule Engine v3,2024-12-31,-13.1,0,10705558.72,12308977.9,Verified with Discrepancy,4.0,0,0,0,1.1506945683260892,0.9992003809303854,12318828.27,1.243528383889063
1000031,2000031,CL,27671002.33,14.59,12,DST,1,121,12460938.45,323984399.7,18,36,36,0.5,121,92,36,0.0,0,1,1,Experian,627.0,CIBIL V2.0,10,0,6,3,11417329.06,16504193.56,93.2,4,12,1,0,0,110,1,0,0,2024-07-07,2024-12-31,0,0,1,1,1,0.6,1.2,2.0,648081.42,468749.87,2198373.41,211572.72,7279191.14,0,1,1,4,2,108283.74,12.26,57,0,0,0,True,2024-01-01,2024-12-31,IDFC First,Savings,2024-12-31,0.2767114508544313,0.16708354329923544,3.3921253443741683,1,0,3000031,9046537.46,Business - Pvt Ltd,"Iyer, Yogi and Sethi",CAT-D Unrated,2,9,Top-Up Loan,2873919.78,24,0.6357,479240.32,1,0.0,0.5132,3222239.8,2020-10-25,Withdrawn,Hybrid Model v1,2024-12-31,23.09,1,11135631.74,8458969.96,Verified with Discrepancy,4.0,1,0,0,0.812395530960689,0.9350505646389045,9046537.46,0.3176817420706286
1000033,2000033,PL,36854567.14,12.98,120,Digital - Mobile App,1,150,3299061.6,50585611.2,17,36,36,0.4722222222222222,90,1,36,0.0,0,1,0,Experian,691.0,CIBIL V3.0,14,8,0,1,14236998.48,29041830.48,68.43,4,0,120,0,0,90,0,0,0,2024-09-04,2024-12-31,1,0,0,1,1,0.0,0.0,3.0,775265.9,878125.31,1676940.16,73205.04,7150868.61,1,2,1,0,0,218132.56,24.52,158,0,0,0,True,2024-01-01,2024-12-31,Kotak Mahindra,Savings,2024-12-31,-0.1326762985447961,0.2813648323755759,2.1630516188058833,0,0,3000033,10565924.14,Contract,Bora PLC,Government PSU,3,12,Business Expansion,16217274.19,12,0.3596,316625.53,0,0.0,0.7187,19002438.05,2023-07-15,Sanctioned - Not Disbursed,Hybrid Model v1,2024-12-31,-7.65,0,9758004.75,10105851.79,Verified with Discrepancy,4.0,0,0,0,1.0827955520312695,0.9564569701709025,10565924.14,1.5348656658063038
1000036,2000036,TL,9010534.03,23.38,60,DST,1,91,1023929.12,22782422.919999998,19,36,36,0.5277777777777778,90,90,34,0.0,2,1,1,CRIF Highmark,720.0,Experian v4,9,1,0,0,1546713.82,11099836.4,30.84,5,1,0,180,0,128,0,0,0,2024-01-20,2024-12-31,0,1,0,1,1,0.0,0.1111111111111111,4.0,1347484.95,756305.16,2658817.86,230367.27,10159325.65,0,1,1,1,1,508986.62,30.89,57,0,0,0,True,2024-01-01,2024-12-31,Yes Bank,Savings,2024-12-31,0.43872830639036076,0.3777308384780105,1.9731707281777062,0,0,3000036,14966000.4868,Business - Proprietorship,Chaudry Group,CAT-C SME,26,2,Balance Transfer,1662401.37,240,0.6443,804239.71,0,0.0,0.6104,2823792.73,2024-11-17,Rejected,Rule Engine v3,2024-12-31,24.71,1,18680826.41,15052098.4,Verified - Positive,3.0,1,0,0,0.8018304432175278,1.0048897648341797,14978855.32,0.11098320495694594
1000037,2000037,VL,44985286.17,10.64,12,Branch Walk-in,0,92,15873296.52,400800737.13,18,36,36,0.5,61,60,36,0.0,0,1,1,CIBIL TransUnion,759.0,CIBIL V3.0,3,8,7,5,15217305.73,13282537.2,52.24,6,11,0,1,2,66,0,0,0,2024-07-10,2024-12-31,0,0,0,1,1,2.3333333333333335,3.6666666666666665,5.0,530530.74,388050.18,869462.22,130548.85,2490105.58,0,1,0,3,1,103493.28,16.5,149,0,0,0,True,2024-01-01,2024-12-31,Punjab National,Savings,2024-12-31,0.2685623080012291,0.19507499226152286,1.6388536128933828,1,0,3000037,5481504.85,Self Employed Professional,"Bhasin, Ganesh and Shetty",CAT-D Unrated,21,14,Travel,16235971.44,36,0.5286,241460.29,0,171112.1,0.535,24229031.62,2024-09-08,Disbursed,Hybrid Model v1,2024-12-31,12.08,0,6143576.33,4550887.5,Unverified,4.0,0,0,0,0.892233538831933,0.8302259369523317,5481504.85,2.9619551353676172
1000038,2000038,CL,15764390.69,21.49,60,DST,1,241,3877528.23,73242199.89999999,20,36,36,0.5555555555555556,91,91,36,0.0,0,1,1,CIBIL TransUnion,788.0,Experian v4,12,5,7,1,3175438.52,28248935.01,18.42,2,6,10,0,2,79,0,0,0,2024-09-28,2024-12-31,0,0,0,0,1,0.5833333333333334,0.5,5.0,922298.31,654952.18,1929838.31,311660.89,7223100.66,2,1,1,3,2,481217.81,8.55,171,0,0,0,True,2024-01-01,2024-12-31,Axis Bank,Savings,2024-12-31,0.2898694783469786,0.5217593969135648,2.0924231228397243,1,0,3000038,13461046.47,Business - Partnership,Master-Murty,CAT-D Unrated,2,11,Vehicle Purchase,11014415.04,36,0.4881,547528.07,1,0.0,0.6488,12949866.62,2024-10-20,Disbursed,ML Scorecard v2,2024-12-31,27.12,1,17112119.48,12043844.56,Verified - Positive,3.0,0,0,0,0.7866381768624725,0.8947182959988697,13461046.47,0.8182435938058238
1000041,2000041,ML,33226306.43,17.72,24,Branch Walk-in,0,90,6617207.28,57900563.7,13,36,36,0.3611111111111111,34,34,34,0.0,2,1,1,Experian,463.0,Equifax v5,5,0,3,0,8739661.07,8705842.37,86.34,7,12,0,0,0,34,2,0,0,2024-08-16,2024-12-31,0,0,1,1,0,0.6,2.4,1.0,467208.31,444769.91,205759.31,38203.34,2490557.91,3,2,1,1,3,151546.06,17.41,39,0,0,0,True,2024-01-01,2024-12-31,HDFC Bank,Savings,2024-12-31,0.04802654302103493,0.32436507818107946,0.4404016486778671,1,0,3000041,5346764.32,Salaried,Chandran Group,CAT-D Unrated,8,2,Home Purchase,14158714.57,12,0.3877,172745.04,0,0.0,0.5827,16433887.71,2020-04-09,Withdrawn,ML Scorecard v2,2024-12-31,24.99,1,6682989.85,4816005.67,Verified - Positive,4.0,0,0,0,0.8000557295474571,0.9007327388613979,5346764.32,2.648090269667992
